t,fish_y,bar_y,vf_px_s,vb_px_s,pos_f,pos_b,vel_f,vel_b,action,prev_action,ui_h
38539.657,830.3,570.0,-93.2,0.0,0.779,0.349,-0.085,0.000,0,0,605
38539.717,822.4,588.6,-120.7,0.0,0.766,0.379,-0.110,0.000,0,0,605
38539.777,815.8,603.8,-120.3,0.0,0.755,0.405,-0.110,0.000,0,0,605
38539.835,809.0,640.8,-114.2,0.0,0.744,0.466,-0.104,0.000,0,0,605
38539.894,806.5,652.2,-86.8,0.0,0.740,0.485,-0.079,0.000,0,0,605
38539.955,808.2,694.9,-22.9,0.0,0.742,0.555,-0.021,0.000,0,0,605
38540.016,810.2,696.6,19.6,0.0,0.746,0.558,0.018,0.000,0,0,605
38540.074,811.3,775.3,24.8,0.0,0.748,0.688,0.023,0.000,0,0,605
38540.131,811.0,792.9,10.9,0.0,0.747,0.717,0.010,0.000,0,0,605
38540.189,808.8,808.5,-15.6,0.0,0.743,0.743,-0.014,0.000,1,0,605
38540.248,805.7,878.4,-39.7,0.0,0.738,0.859,-0.036,0.000,1,1,605
38540.306,803.1,891.5,-46.7,0.0,0.734,0.880,-0.043,0.000,1,1,605
38540.383,800.3,893.2,-41.3,0.0,0.729,0.883,-0.038,0.000,1,1,605
38540.436,797.4,889.1,-42.7,0.0,0.725,0.876,-0.039,0.000,1,1,605
38540.491,794.6,885.2,-50.3,0.0,0.720,0.870,-0.046,0.000,1,1,605
38540.548,792.1,865.7,-48.4,0.0,0.716,0.838,-0.044,0.000,1,1,605
38540.602,791.2,852.4,-34.4,0.0,0.714,0.816,-0.031,0.000,1,1,605
38540.661,791.8,852.4,-8.7,0.0,0.715,0.816,-0.008,0.000,1,1,605
38540.717,791.8,809.3,2.2,0.0,0.715,0.744,0.002,0.000,1,1,605
38540.779,788.4,791.2,-22.9,0.0,0.710,0.714,-0.021,0.000,1,1,605
38540.832,781.0,754.4,-79.0,0.0,0.698,0.654,-0.072,0.000,1,1,605
38540.890,776.2,743.6,-102.6,0.0,0.690,0.636,-0.094,0.000,1,1,605
38540.946,770.8,734.0,-92.1,0.0,0.681,0.620,-0.084,0.000,1,1,605
38541.003,765.7,677.4,-93.2,0.0,0.672,0.526,-0.085,0.000,0,1,605
38541.063,761.5,646.2,-82.3,0.0,0.665,0.475,-0.075,0.000,0,0,605
38541.119,755.5,606.0,-86.2,0.0,0.655,0.408,-0.079,0.000,0,0,605
38541.180,749.9,571.6,-96.8,0.0,0.646,0.351,-0.088,0.000,0,0,605
38541.237,744.8,536.2,-92.2,0.0,0.638,0.293,-0.084,0.000,0,0,605
38541.292,739.1,536.2,-95.0,0.0,0.628,0.293,-0.087,0.000,0,0,605
38541.350,734.8,475.4,-89.6,0.0,0.621,0.192,-0.082,0.000,0,0,605
38541.404,730.3,475.4,-80.7,0.0,0.614,0.192,-0.074,0.000,0,0,605
38541.463,728.3,441.3,-61.8,0.0,0.610,0.136,-0.056,0.000,0,0,605
38541.531,727.8,441.3,-28.1,0.0,0.610,0.136,-0.026,0.000,0,0,605
38541.588,730.9,441.2,9.9,0.0,0.615,0.136,0.009,0.000,0,0,605
38541.648,735.7,446.7,56.3,0.0,0.623,0.145,0.051,0.000,0,0,605
38541.704,736.3,459.6,48.5,0.0,0.624,0.166,0.044,0.000,0,0,605
38541.763,736.5,460.1,15.6,0.0,0.624,0.167,0.014,0.000,0,0,605
38541.818,736.8,459.8,7.1,0.0,0.625,0.167,0.006,0.000,0,0,605
38541.879,736.5,459.4,1.4,0.0,0.624,0.166,0.001,0.000,0,0,605
38541.936,736.5,459.4,-1.7,0.0,0.624,0.166,-0.002,0.000,0,0,605
38541.997,736.3,459.9,-2.3,0.0,0.624,0.167,-0.002,0.000,0,0,605
38542.050,735.4,459.3,-8.3,0.0,0.622,0.166,-0.008,0.000,0,0,605
38542.112,737.4,460.0,6.6,0.0,0.625,0.167,0.006,0.000,0,0,605
38542.164,737.4,460.0,9.6,0.0,0.625,0.167,0.009,0.000,0,0,605
38542.220,737.4,460.0,10.2,0.0,0.625,0.167,0.009,0.000,0,0,605
38542.277,737.4,460.0,10.3,0.0,0.625,0.167,0.009,0.000,0,0,605
38542.334,737.4,460.0,10.4,0.0,0.625,0.167,0.009,0.000,0,0,605
38550.925,877.3,892.3,0.0,0.0,0.853,0.878,0.000,0.000,1,0,605
38550.982,873.6,892.9,0.0,0.0,0.847,0.879,0.000,0.000,1,1,605
38551.036,870.8,894.6,-46.8,0.0,0.843,0.882,-0.043,0.000,1,1,605
38551.092,867.4,895.7,-54.7,0.0,0.837,0.884,-0.050,0.000,1,1,605
38551.147,864.6,897.4,-55.8,0.0,0.832,0.887,-0.051,0.000,1,1,605
38551.205,859.2,890.2,-69.5,0.0,0.823,0.875,-0.063,0.000,1,1,605
38551.263,857.2,887.7,-64.8,0.0,0.820,0.871,-0.059,0.000,1,1,605
